loc_no,loc_nm
10,서울특별시
100,서울중구
110,서울종로구
120,서울서대문구
121,서울마포구
122,서울은평구
130,서울동대문구
131,서울중랑구
132,서울도봉구
133,서울성동구
134,서울강동구
135,서울강남구
136,서울성북구
137,서울서초구
138,서울송파구
139,서울노원구
140,서울용산구
142,서울강북구
143,서울광진구
150,서울영등포구
151,서울관악구
152,서울구로구
153,서울금천구
156,서울동작구
157,서울강서구
158,서울양천구
20,강원도
200,춘천시
209,화천군
210,강릉시
215,양양군
217,속초시
219,고성군
220,원주시
225,횡성군
230,영월군
232,평창군
233,정선군
235,태백시
240,동해시
245,삼척시
250,홍천군
252,인제군
255,양구군
269,철원군
30,대전광역시
300,대전동구
301,대전중구
302,대전서구
305,대전유성구
306,대전대덕구
31,충청남도
312,금산군
314,공주시
320,논산시
321,계룡시
323,부여군
325,서천군
332,천안시
336,아산시
340,예산군
343,당진군
345,청양군
350,홍성군
355,보령시
356,서산시
357,태안군
33,세종시
36,충청북도
359,청주시
363,청원군
365,진천군
367,괴산군
368,증평군
369,음성군
370,영동군
373,옥천군
376,보은군
380,충주시
390,제천시
395,단양군
40,인천광역시
400,인천중구
401,인천동구
402,인천남구
403,인천부평구
404,인천서구
405,인천남동구
406,인천연수구
407,인천계양구
409,인천옹진군
417,인천강화군
41,경기도
413,파주시
414,고양시
415,김포시
419,부천시
423,광명시
424,안산시
427,과천시
429,시흥시
432,안양시
435,군포시
437,의왕시
439,수원시
445,화성시
447,오산시
450,평택시
452,용인시
456,안성시
460,성남시
464,광주시
465,하남시
467,이천시
469,여주군
471,구리시
472,남양주시
476,양평군
477,가평군
480,의정부시
482,양주시
483,동두천시
486,연천군
487,포천시
50,광주광역시
500,광주북구
501,광주동구
502,광주서구
503,광주남구
506,광주광산구
51,전라남도
513,영광군
515,장성군
516,곡성군
517,담양군
519,화순군
520,나주시
525,함평군
526,영암군
527,강진군
529,장흥군
530,목포시
534,무안군
535,신안군
536,해남군
537,완도군
539,진도군
540,순천시
542,구례군
545,광양시
546,보성군
548,고흥군
555,여수시
56,전라북도
559,전주시
565,완주군
566,임실군
567,진안군
568,무주군
570,익산시
573,군산시
576,김제시
579,부안군
580,정읍시
585,고창군
590,남원시
595,순창군
597,장수군
60,부산광역시
600,부산중구
601,부산동구
602,부산서구
604,부산사하구
606,부산영도구
607,부산동래구
608,부산남구
609,부산금정구
611,부산연제구
612,부산해운대구
613,부산수영구
614,부산부산진구
616,부산북구
617,부산사상구
618,부산강서구
619,부산기장군
62,경상남도
621,김해시
626,양산시
627,밀양시
632,창원시
635,창녕군
636,의령군
637,함안군
638,고성군
650,통영시
656,거제시
660,진주시
664,사천시
666,산청군
667,하동군
668,남해군
670,거창군
676,함양군
678,합천군
68,울산광역시
680,울산남구
681,울산중구
682,울산동구
683,울산북구
689,울산울주군
69,제주도
690,제주시
699,서귀포시
70,대구광역시
700,대구중구
701,대구동구
702,대구북구
703,대구서구
704,대구달서구
705,대구남구
706,대구수성구
711,대구달성군
71,경상북도
712,경산시
714,청도군
716,군위군
717,고령군
718,칠곡군
719,성주군
730,구미시
740,김천시
742,상주시
745,문경시
750,영주시
755,봉화군
757,예천군
760,안동시
763,청송군
764,영양군
766,영덕군
767,울진군
769,의성군
770,영천시
780,경주시
789,포항시
799,울릉군
99,기타
